price,bedroom,bathroom,land_area,building_area,location
455.0,3,1,90,70,"Sidoarjo, Sidoarjo"
1500.0,4,2,120,120,"Rungkut, Surabaya"
900.0,2,1,90,42,"Sidoarjo, Sidoarjo"
1100.0,3,2,120,130,"Rungkut, Surabaya"
835.0,3,1,100,75,"Wonorejo, Surabaya"
250.0,2,1,72,56,"Sidoarjo, Sidoarjo"
1200.0,3,2,100,57,"Wiyung, Surabaya"
1580.0,3,3,90,100,"Rungkut, Surabaya"
1700.0,3,2,154,81,"Sidoarjo, Surabaya"
2000.0,3,2,126,115,"Wiyung, Surabaya"
1200.0,2,2,174,110,"Surabaya Kota, Surabaya"
1700.0,2,1,180,116,"Rungkut, Surabaya"
1650.0,3,3,90,145,"Surabaya Kota, Surabaya"
1970.0,3,3,100,160,"Surabaya Kota, Surabaya"
1150.0,2,2,60,80,"Wiyung, Surabaya"
1500.0,2,2,72,70,"Tandes, Surabaya"
1500.0,4,2,200,147,"Wonorejo, Surabaya"
850.0,3,2,117,100,"Gununganyar, Surabaya"
1200.0,3,2,150,110,"Rungkut, Surabaya"
1200.0,3,3,112,145,"Benowo, Surabaya"
1600.0,3,3,120,114,"Mulyorejo, Surabaya"
1600.0,3,2,105,90,"Citraland, Surabaya"
990.0,2,1,120,54,"Citraland, Surabaya"
650.0,3,2,72,55,"Gununganyar, Surabaya"
585.0,3,3,60,63,"Rungkut, Surabaya"
950.0,3,2,100,90,"Surabaya Kota, Surabaya"
650.0,3,2,72,60,"Wiyung, Surabaya"
585.0,3,3,60,63,"Surabaya Kota, Surabaya"
750.0,3,1,100,55,"Rungkut, Surabaya"
699.0,3,2,72,55,"Surabaya Kota, Surabaya"
575.0,2,1,40,50,"Surabaya Kota, Surabaya"
1700.0,3,3,100,119,"Rungkut, Surabaya"
700.0,2,2,72,70,"Rungkut, Surabaya"
1300.0,3,2,126,179,"Rungkut, Surabaya"
750.0,3,2,98,180,"Benowo, Surabaya"
1900.0,3,3,120,200,"Rungkut, Surabaya"
880.0,2,1,72,46,"Citraland, Surabaya"
1900.0,3,2,180,160,"Gununganyar, Surabaya"
650.0,3,2,42,60,"Medokan Ayu, Surabaya"
2000.0,2,2,102,102,"Kenjeran, Surabaya"
1650.0,3,3,87,120,"Rungkut, Surabaya"
1650.0,3,3,112,120,"Rungkut, Surabaya"
1500.0,2,2,60,80,"Wiyung, Surabaya"
1150.0,4,4,127,184,"Sidoarjo, Sidoarjo"
1500.0,3,3,70,115,"Rungkut, Surabaya"
900.0,2,1,84,50,"Rungkut, Surabaya"
790.0,4,2,90,160,"Wiyung, Surabaya"
1650.0,3,2,100,90,"Pakuwon City, Surabaya"
1580.0,3,3,90,90,"Rungkut, Surabaya"
550.0,3,1,50,60,"Surabaya Kota, Surabaya"
750.0,2,2,100,70,"Rungkut, Surabaya"
450.0,2,1,35,35,"Rungkut, Surabaya"
600.0,2,1,100,40,"Rungkut, Surabaya"
650.0,2,1,162,50,"Sidoarjo, Sidoarjo"
1000.0,3,2,138,138,"Wiyung, Surabaya"
2000.0,4,2,127,158,"Surabaya Kota, Surabaya"
999.0,2,1,135,54,"Sidoarjo, Sidoarjo"
1500.0,2,1,160,112,"Rungkut, Surabaya"
900.0,3,2,112,105,"Sidoarjo, Sidoarjo"
835.0,3,1,100,75,"Rungkut, Surabaya"
750.0,3,3,72,140,"Rungkut, Surabaya"
1650.0,3,3,120,200,"Menganti, Surabaya"
1020.0,3,2,72,100,"Surabaya Kota, Surabaya"
1300.0,4,2,90,103,"Babatan, Surabaya"
1250.0,3,1,112,90,"Sambikerep, Surabaya"
1450.0,4,3,120,200,"Rungkut, Surabaya"
695.0,2,1,69,50,"Rungkut Industri, Surabaya"
850.0,1,1,81,70,"Rungkut, Surabaya"
1310.0,3,2,85,70,"Rungkut, Surabaya"
900.0,3,1,105,140,"Rungkut Industri, Surabaya"
1500.0,3,2,150,100,"Citraland, Surabaya"
1600.0,3,3,94,150,"Citraland, Surabaya"
995.0,3,2,90,60,"Surabaya Kota, Surabaya"
1290.0,3,3,79,95,"Wiyung, Surabaya"
950.0,2,1,84,80,"Ketintang, Surabaya"
1570.0,3,3,75,115,"Surabaya Kota, Surabaya"
2000.0,3,2,193,128,"Pakal, Surabaya"
1370.0,3,3,65,110,"Rungkut, Surabaya"
1400.0,4,1,128,170,"Gununganyar, Surabaya"
1700.0,3,2,60,79,"Wiyung, Surabaya"
1500.0,3,3,75,83,"Pakuwon City, Surabaya"
1700.0,2,2,136,100,"Wiyung, Surabaya"
1300.0,3,2,135,90,"Sidoarjo, Sidoarjo"
400.0,2,1,72,32,"Sidoarjo, Sidoarjo"
350.0,2,1,118,36,"Sidoarjo, Sidoarjo"
1200.0,2,1,102,72,"Pakuwon City, Surabaya"
900.0,2,1,90,90,"Sidoarjo, Sidoarjo"
1980.0,4,3,128,200,"Citraland, Surabaya"
900.0,4,4,166,200,"Manyar, Surabaya"
1670.0,3,2,72,84,"Pakuwon City, Surabaya"
980.0,3,3,60,90,"Sidoarjo, Sidoarjo"
850.0,3,1,90,135,"Rungkut, Surabaya"
695.0,2,2,60,56,"Rungkut, Surabaya"
695.0,3,2,60,65,"Rungkut, Surabaya"
585.0,2,2,48,45,"Surabaya Kota, Surabaya"
585.0,2,2,48,45,"Gununganyar, Surabaya"
585.0,3,3,60,63,"Wiyung, Surabaya"
650.0,3,2,72,55,"Rungkut, Surabaya"
975.0,3,2,120,65,"Rungkut, Surabaya"
1300.0,3,2,160,157,"Tambaksari, Surabaya"
1900.0,4,4,112,150,"Mulyorejo, Surabaya"
1400.0,4,4,75,90,"Rungkut, Surabaya"
1550.0,3,2,60,64,"Citraland, Surabaya"
1250.0,3,2,50,63,"Mulyorejo, Surabaya"
1000.0,2,1,84,50,"Rungkut, Surabaya"
1880.0,3,2,120,45,"Surabaya Kota, Surabaya"
900.0,2,2,150,150,"Sidoarjo, Sidoarjo"
1580.0,3,2,133,100,"Wiyung, Surabaya"
650.0,2,1,90,125,"Rungkut, Surabaya"
925.0,4,2,80,100,"Surabaya Kota, Surabaya"
1150.0,1,1,60,60,"Citraland, Surabaya"
450.0,2,1,35,30,"Rungkut, Surabaya"
950.0,3,3,72,140,"Rungkut, Surabaya"
1130.0,3,2,120,100,"Surabaya Kota, Surabaya"
555.0,3,2,96,45,"Sidoarjo, Sidoarjo"
1500.0,4,2,120,90,"Rungkut, Surabaya"
2000.0,4,2,127,157,"Surabaya Kota, Surabaya"
835.0,2,1,100,75,"Rungkut, Surabaya"
1200.0,3,2,84,75,"Rungkut, Surabaya"
1680.0,3,2,72,84,"Pakuwon City, Surabaya"
249.0,2,1,90,36,"Sidoarjo, Sidoarjo"
473.0,3,2,153,45,"Sidoarjo, Sidoarjo"
1580.0,3,2,90,45,"Rungkut, Surabaya"
2000.0,3,4,189,200,"Sidoarjo, Surabaya"
