"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 275 Juta","Rumah 2 Lantai Dekat Pasar Menganti Gresik","Menganti, Gresik","2","1","90 m²","60 m²"
"Rp 525 Juta","Harga Ok ... Swp Residence By Dian Istana, Kepatihan Gresik","Menganti, Gresik","2","1","84 m²","45 m²"
"Rp 325 Juta","MURAH RUmah The Menganti Gresik","Menganti, Gresik","2","2","90 m²","60 m²"
"Rp 690 Juta","Rumah Baru 2 Lantai Minimalis Grand Shanaya Puri Safira Menganti Murah","Menganti, Gresik","1","2","60 m²","47 m²"
"Rp 505 Juta","Rumah Modern Shm Di Menganti","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp 800 Juta","Rumah di Puri Safira Regency Menganti Bringkang Gresik","Menganti, Gresik","2","1","60 m²","40 m²"
"Rp 2,5 Miliar","Rumah Jalan Raya Cocok Untuk Usaha # Lokasi Strategis Pinggir Jalan Raya # Nol Jalan Raya # Komersial Area # Shm","Menganti, Gresik","7","4","350 m²","220 m²"
"Rp 291 Juta","Grand Westan Residece Wringinanom Gresik","Wringinanom, Gresik","2","1","60 m²","28 m²"
"Rp 3,05 Miliar","Dijual Aset Lelang ,di Cangkir Driyorejo Gresik","Driyorejo, Gresik","4","3","1339 m²","120 m²"
"Rp 550 Juta","Jual Rumah Murah Barat Surabaya Menganti Siap Huni","Menganti, Gresik","2","2","60 m²","42 m²"
"Rp 400 Juta","Rumah Murah Tengah Kota Gresik","Gresik Kota, Gresik","2","1","70 m²","50 m²"
"Rp 1,6 Miliar","RUMAH CANTIK MODERN MINIMALIS","Menganti, Gresik","3","2","105 m²","90 m²"
"Rp 7 Miliar","Rumah Kost Murah 3 Lantai Jl Kartini Kebomas Gresik","Kebomas, Gresik","42","42","545 m²","1000 m²"
"Rp 608 Juta","Dijual Rumah 2 Lantai Type Caragana Denaila Village","Driyorejo, Gresik","3","2","60 m²","56 m²"
"Rp 800 Juta","Rumah Siap Huni Kota Baru Driyorejo Gresik","Driyorejo, Gresik","2","1","135 m²","120 m²"
"Rp 200 Juta","1897. Dijual Rumah indent Raya Boteng Menganti Gresik","Menganti, Gresik","2","1","72 m²","36 m²"
"Rp 850 Juta","1866. BO Mirah Delima Regency Kota Baru Driyorejo Gresik","Driyorejo, Gresik","3","2","160 m²","100 m²"
"Rp 426 Juta","Rumah Baru SHM Kebomas, Gresik","Kebomas, Gresik","2","1","60 m²","36 m²"
"Rp 550 Juta","SWP Residence cluster Verona, one gate dengan kartu akses","Menganti, Gresik","2","1","84 m²","45 m²"
"Rp 2,5 Miliar","Rumah Citraland CBD Driyorejo Gresik Kondisi Lengkap dengan Interior Kamar Tidur","Driyorejo, Gresik","4","4","112 m²","142 m²"
"Rp 450 Juta","Dijual Rumah Puri Safira Menganti","Menganti, Gresik","2","2","65 m²","72 m²"
"Rp 1,1 Miliar","JUAL RUMAH BARU GREEN LAND MENGANTI GRESIK CLUSTER GARBERA","Menganti, Gresik","3","3","78 m²","84 m²"
"Rp 6,5 Miliar","Rumah Nol Jalan Raya Dikawasan Cafe , Coffeeshop , Resto","Gresik Kota, Gresik","3","3","417 m²","200 m²"
"Rp 490 Juta","Rumah Siap Huni SHM 30 Menit Dari Ptc","Menganti, Gresik","2","1","72 m²","36 m²"
"Rp 575 Juta","di Jual Rumah Baru SHM Nol Jalan Hulaan Angsuran 2jutaan","Menganti, Gresik","2","1","84 m²","36 m²"
"Rp 650 Juta","DIJUAL RUMAH TINGGAL LADIVA GREENHILL MENGANTI GRESIK","Menganti, Gresik","2","1","98 m²","53 m²"
"Rp 415 Juta","Rumah Siap Bagus Dan Siap Huni di Jalan Imam Al Tantowi Blok Al 13 18 Desa Randuagung Kec. Kebomas gresik","Kebomas, Gresik","2","1","72 m²","51 m²"
"Rp 800 Juta","Dijual Rumah Puri Safira Menganti Siap Huni","Menganti, Gresik","2","1","90 m²","120 m²"
"Rp 1,2 Miliar","JUAL RUMAH SIAP HUNI STRATEGIS PERMATA SAFIRA SURABAYA","Menganti, Gresik","3","2","144 m²","100 m²"
"Rp 1,2 Miliar","JUAL RUMAH SIAP HUNI STRATEGIS PERMATA SAFIRA SURABAYA","Menganti, Gresik","3","2","144 m²","100 m²"
"Rp 1,1 Miliar","JUAL RUMAH BARU GREEN LAND MENGANTI GRESIK CLUSTER GARBERA","Menganti, Gresik","3","3","78 m²","84 m²"
"Rp 800 Juta","DIJUAL RUMAH DI MENTENG REGENCY, GRESIK","Driyorejo, Gresik","2","1","70 m²","70 m²"
"Rp 950 Juta","Rumah Grand Sunrise BARU GRES MURAH BUTUH CEPAT","Menganti, Gresik","2","2","90 m²","81 m²"
"Rp 1,3 Miliar","Rumah dua lantai siap huni di GKB","Manyar, Gresik","4","2","91 m²","182 m²"
"Rp 700 Juta","Rumah Baru 2 Lantai di Puri Safira Menganti","Menganti, Gresik","2","2","60 m²","53 m²"
"Rp 1,6 Miliar","Dijual Rumah Cantik di Gresik Kota Baru Dekat Gress Mall Gresik","Kebomas, Gresik","2","1","112 m²","112 m²"
"Rp 695 Juta","Rumah Murah Aset Mandiri, Kab Gresik","Kebomas, Gresik","2","2","150 m²","113 m²"
"Rp 950 Juta","Rumah Grand Sunrise 2 lantai MURAH SIAP PAKAI","Menganti, Gresik","2","2","90 m²","81 m²"
"Rp 200 Juta","Rumah Murah Bendil Kepatihan","Menganti, Gresik","3","1","75 m²","60 m²"
"Rp 575 Juta","Rumah kampung Randuagung","Kebomas, Gresik","2","1","105 m²","90 m²"
"Rp 650 Juta","Jual Rumah Puri Safira","Menganti, Gresik","2","2","135 m²","75 m²"
"Rp 629 Juta","Rumah Baru 2 lantai lokasi dekat Perkantoran Gresik Kota","Cerme, Gresik","2","1","60 m²","47 m²"
"Rp 700 Juta","Rumah Prambon Asri Menganti,Gresik","Menganti, Gresik","2","1","120 m²","60 m²"
"Rp 655 Juta","DE NAILA PARK","Driyorejo, Gresik","3","2","60 m²","65 m²"
"Rp 600 Juta","Rumah Murah Jade Hamlet Menganti Gresik","Menganti, Gresik","3","2","112 m²","75 m²"
"Rp 265 Juta","Lelang Rumah Murah Di Mengenti Kabupeten Gresik Jawa Timur","Menganti, Gresik","2","1","60 m²","60 m²"
"Rp 900 Juta","Mepet Citraland Surabaya Gresik Ready Siap Huni","Gresik, Gresik","2","2","60 m²","56 m²"
"Rp 650 Juta","SWAN MENGANTI PARK HOOK JALAN UTAMA PERUM","Menganti, Gresik","2","1","84 m²","84 m²"
"Rp 1,2 Miliar","LADIVA GREEN HILL 2 LT FULL RENOVASI","Menganti, Gresik","4","2","112 m²","160 m²"
"Rp 487 Juta","Rumah Kokoh Bata Merah Terjangkau Di Kelasnya 5 Menit Pasar Sumput","Driyorejo, Gresik","2","1","72 m²","38 m²"
"Rp 800 Juta","DIJUAL RUMAH MENTENG REGENCY BW 102","Driyorejo, Gresik","2","1","70 m²","70 m²"
"Rp 601 Juta","Ready Unit Listrik Underground Nol Jalan Raya Dekat Exit Tol Cerme","Cerme, Gresik","2","1","90 m²","45 m²"
"Rp 229 Juta","RUMAH TANJUNGAN GRESIK 43325","Driyorejo, Gresik","1","1","60 m²","30 m²"
"Rp 650 Juta","Rp 650jt NEGO, Menganti, Luas 122, Lebar 8, Minim Renov, Siap Huni","Menganti, Gresik","2","2","122 m²","50 m²"
"Rp 610 Juta","Rumah Siap Huni, Bangunan Mulus Terawat Banyak Bonus","Kebomas, Gresik","2","1","66 m²","45 m²"
"Rp 550 Juta","Rumah Indro wilmar gresik","Kebomas, Gresik","4","1","204 m²","150 m²"
"Rp 295 Juta","Dijual Rumah Komersil Tanpa Dp Di Dekat Gerbang Tol Belahanrejo- Kedamean Komplek Emran Residence","Kedamean, Gresik","1","1","60 m²","22 m²"
"Rp 460 Juta","Golden Berry Murah Butuh Cepat laku","Menganti, Gresik","2","1","98 m²","54 m²"
"Rp 1,15 Miliar","Dijual Rumah Hook Baru Renov di La Diva Green Hill dekat dengan Pasar Menganti, Pasar Hulaan, The Menganti, Puri Safira Regency, RS Eka Husada, Royal Residence Menganti, Grand Sunrise, Palem Pertiwi, Permata Green, Swan Menganti Mas Regency","Menganti, Gresik","3","1","152 m²","60 m²"
"Rp 850 Juta","Rumah Minimalis 2 Lantai & Siap Huni di Puri Safira Menganti Gresik","Menganti, Gresik","2","2","90 m²","67 m²"
"Rp 2,12 Miliar","Citraland Driyorejo Bianca","Driyorejo, Gresik","3","2","112 m²","154 m²"
"Rp 400 Juta","Rumah Murah Di Permata Green Menganti Regency Gresik","Menganti, Gresik","2","1","78 m²","40 m²"
"Rp 400 Juta","Rumah Murah Di Permata Green Menganti Regency Gresik","Menganti, Gresik","2","1","78 m²","40 m²"
"Rp 350 Juta","Dijual Rumah Di Puncak Anom Driyorejo Gresik","Driyorejo, Gresik","2","1","110 m²","52 m²"
"Rp 350 Juta","Dijual Rumah Di Puncak Anom Driyorejo Gresik","Driyorejo, Gresik","2","1","110 m²","52 m²"
"Rp 300 Juta","Grand North Menganti, hanya bayar 1 juta langsung akad ciciln 2jt","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp 650 Juta","JUAL CEPAT RUMAH MINIMALIS AREA MENGANTI OMA GREENLAND","Menganti, Gresik","4","2","84 m²","168 m²"
"Rp 1,15 Miliar","Rumah Di Puri Safira Menganti Row 4 Mobil","Menganti, Gresik","3","2","144 m²","144 m²"
"Rp 900 Juta","Dijual Rumah di Grand Sunrise Menganti Gresik","Menganti, Gresik","2","2","75 m²","67 m²"
"Rp 1,9 Miliar","DIJUAL RUMAH 2LT WISATA REGENCY SIAP HUNI MA 368","Driyorejo, Gresik","5","5","128 m²","128 m²"
"Rp 500 Juta","De Naila Residence Menganti","Menganti, Gresik","2","1","91 m²","48 m²"
"Rp 1,1 Miliar","JUAL RUMAH BARU GREEN LAND MENGANTI GRESIK CLUSTER GARBERA","Menganti, Gresik","3","3","78 m²","84 m²"
"Rp 400 Juta","de nailapark menganti","Menganti, Gresik","2","1","60 m²","30 m²"
"Rp 1,2 Miliar","Rumah 2 Bangunan Harga Miring PPI Gresik","Manyar, Gresik","3","3","164 m²","110 m²"
"Rp 1,13 Miliar","RUMAH BUKIT RANDU AGUNG INDAH GRESIK 46238","Kebomas, Gresik","1","1","120 m²","30 m²"
"Rp 463 Juta","RUMAH KOTA BARU DRIYOREJO GRESIK 30899","Driyorejo, Gresik","1","1","70 m²","70 m²"
"Rp 475 Juta","Rumah 99900 Randuagung Kebomas Gresik Murah","Kebomas, Gresik","2","1","150 m²","100 m²"
"Rp 860 Juta","Citraland Driyorejo CBD konsep rumah tumbuh","Driyorejo, Gresik","1","1","75 m²","39 m²"
"Rp 620 Juta","Rumah di Jalan Giok, Driyorejo (DT)","Driyorejo, Gresik","3","3","120 m²","112 m²"
"Rp 620 Juta","Rumah di Jalan Giok, Driyorejo (DT)","Driyorejo, Gresik","3","3","120 m²","112 m²"
"Rp 620 Juta","Rumah di Jalan Giok, Driyorejo (DT)","Driyorejo, Gresik","3","3","120 m²","112 m²"
"Rp 620 Juta","Rumah di Jalan Giok, Driyorejo (DT)","Driyorejo, Gresik","3","3","120 m²","112 m²"
"Rp 620 Juta","Rumah di Jalan Giok, Driyorejo (DT)","Driyorejo, Gresik","3","3","120 m²","112 m²"
"Rp 1,18 Miliar","Citraland Driyorejo CBD Siap Huni 2 lantai Full Furnish","Driyorejo, Gresik","2","2","70 m²","65 m²"
"Rp 1,8 Miliar","Usaha Wringinanom Gresik","Wringinanom, Gresik","4","2","263 m²","263 m²"
"Rp 1,1 Miliar","JUAL RUMAH BARU GREEN LAND MENGANTI GRESIK CLUSTER GARBERA","Menganti, Gresik","3","3","78 m²","84 m²"
"Rp 725 Juta","Rumah Di Menganti. Baratnya Surabaya. Ladiva Greenhill. Dijual Cepat. Nego Sampai Deal.","Menganti, Gresik","2","2","112 m²","80 m²"
