"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 4 Miliar","Dijual Rumah 2 Lantai Lokasi Citra Garden Sidoarjo Kota","Sidoarjo, Sidoarjo","5","4","200 m²","320 m²"
"Rp 1,35 Miliar","Rumah Jaya Harmoni Sidoarjo","Buduran, Sidoarjo","3","2","165 m²","110 m²"
"Rp 550 Juta","Rumah Shm Ukuran Jumbo Jual Murah Dekat Bungurasih","Taman, Sidoarjo","2","1","105 m²","60 m²"
"Rp 3,1 Miliar","Rumah Mewah Jual Murah Puri Surya Jaya","Gedangan, Sidoarjo","4","3","434 m²","180 m²"
"Rp 200 Juta","Velvet legundi hanya bayar 1 juta langsung proses bank free biaya","Krian, Sidoarjo","2","1","72 m²","36 m²"
"Rp 2,2 Miliar","Dijual Rumah Di Emerald Pondok Tjandra (buyer Only)","Pondok Tjandra, Sidoarjo","3","2","180 m²","120 m²"
"Rp 365 Juta","Rumah Murah Luas di Wonoayu Sidoarjo","Wonoayu, Sidoarjo","2","1","90 m²","90 m²"
"Rp 476 Juta","Rumah Baru ,unit Siap Huni ,tersedia Unit 1 Lantai Dan 2 Lantai","Prambon, Sidoarjo","2","1","72 m²","40 m²"
"Rp 1,5 Miliar","Dijual Rumah Lokasi Daerah Krembung Sidoarjo","Krembung, Sidoarjo","4","2","882 m²","286 m²"
"Rp 1,7 Miliar","Dijual murah rumah 1,5 lantai duku pondok Chandra surabaya","Wadungasri, Sidoarjo","3","3","150 m²","150 m²"
"Rp 757 Juta","Rumah Sedati Dp 0% Free Biaya Biaya. Nol Jalan Utama","Sedati, Sidoarjo","2","1","91 m²","39 m²"
"Rp 475 Juta","Dijual Rumah Murah Graha Mutiara Sukodono Sidoarjo","Sukodono, Sidoarjo","2","2","90 m²","57 m²"
"Rp 600 Juta","Dijual Murah Rumah Grand Sedati Sidoarjo","Sedati, Sidoarjo","3","1","90 m²","90 m²"
"Rp 1,5 Miliar","Dijual Rumah 2.lantai Lokasi Mutiara Regency Sidoarjo Kota","Sidoarjo, Sidoarjo","4","3","160 m²","300 m²"
"Rp 1,2 Miliar","Dijual Rumah Murah 2 Lantai Lokasi Waru Sidoarjo","Waru, Sidoarjo","4","2","156 m²","223 m²"
"Rp 1,5 Miliar","Dijual Rumah Murah Lokasi Citra Garden Sidoarjo Kota","Sidoarjo, Sidoarjo","2","2","150 m²","72 m²"
"Rp 1,25 Miliar","Dijual Rumah Bagus 2 Lantai Lokasi Sidoarjo Kota","Sidoarjo, Sidoarjo","4","2","150 m²","120 m²"
"Rp 900 Juta","Dijual Murah Rumah 2 Lantai Puri Indah Sidoarjo Kota","Sidoarjo, Sidoarjo","2","2","150 m²","150 m²"
"Rp 655 Juta","Dijual Via Lelang Rumah Mewah Central Park Juanda","Waru, Sidoarjo","2","1","90 m²","45 m²"
"Rp 555 Juta","Dijual Rumah Via Lelang Perumahan Citra City Sarirogo Sidoarjo","Sidoarjo, Sidoarjo","3","2","96 m²","45 m²"
"Rp 533 Juta","Dijual Murah Rumah Via Lelang Rumah Bluru Kidul","Sidoarjo, Sidoarjo","3","2","210 m²","150 m²"
"Rp 347 Juta","Dijual Murah Via Lelang Rumah Kedungturi Permai","Waru, Sidoarjo","2","1","114 m²","40 m²"
"Rp 473 Juta","Dijual Via Lelang Rumah Desa Janti Waru Sidoarjo","Sidoarjo, Sidoarjo","3","2","153 m²","45 m²"
"Rp 399 Juta","Dijual Rumah Hitung Tanah Cocok Untuk Dibangun Ruko","Sidoarjo, Sidoarjo","2","1","98 m²","98 m²"
"Rp 249 Juta","Dijual Via Lelang Rumah Lokasi Prasung Buduran Sidoarjo","Sidoarjo, Sidoarjo","2","1","90 m²","36 m²"
"Rp 490 Juta","Dijual Rumah Baru Gress Bohar Wage Aloha Hanya 490jt Siap Huni","Waru, Sidoarjo","2","1","80 m²","50 m²"
"Rp 500 Juta","Wang Residence Sukodono Hanya Utj 1 Juta Langsung Kpr Free Biaya","Sukodono, Sidoarjo","2","2","72 m²","36 m²"
"Rp 470 Juta","Rumah Shm Murah Dekat Maspion 3 Dan Juanda","Buduran, Sidoarjo","2","1","90 m²","36 m²"
"Rp 1,1 Miliar","Rumah Shm Ready Unit Di Pusat Kota Sidoarjo","Buduran, Sidoarjo","4","2","120 m²","220 m²"
"Rp 550 Juta","Rumah Murah Shm Ready Unit Aloha","Waru, Sidoarjo","3","2","59 m²","100 m²"
"Rp 400 Juta","Rumah Buduran Dijual Murah","Buduran, Sidoarjo","2","1","60 m²","50 m²"
"Rp 475 Juta","Rumah SHM Free Semua Biaya Juanda","Sedati, Sidoarjo","2","1","72 m²","36 m²"
"Rp 1,05 Miliar","DIJUAL RUMAH TAMAN PONDOK JATI DOEBLE WAY","Taman, Sidoarjo","3","2","126 m²","100 m²"
"Rp 290 Juta","Dijual Rumah Siap Huni Dekat Surabaya Dijogosatru Sukodono","Sukodono, Sidoarjo","2","1","63 m²","40 m²"
"Rp 1,1 Miliar","Rumah CITRA GARDEN SIDOARJO  Di Jantung kota Sidoarjo","Sidoarjo, Sidoarjo","2","1","66 m²","96 m²"
"Rp 576 Juta","Rumah Dijual Sidoarjo Gedangan Aloha dekat Tol Waru ,Bandara Juanda 500 Jutaan FREE Biaya-biaya","Gedangan, Sidoarjo","2","1","60 m²","40 m²"
"Rp 300 Juta","Rumah Dijual Terdekat Surabaya Timur Merr 300 Jutaan Area Juanda","Sedati, Sidoarjo","2","1","72 m²","32 m²"
"Rp 1,5 Miliar","Dijual Rumah Pondok Tjandra Indah Melon Sidoarjo Dekat Bandara Internasional Juanda","Waru, Sidoarjo","3","2","120 m²","75 m²"
"Rp 1,3 Miliar","Dijual Rumah Kahuripan Nirwana Sidoarjo Kota","Sidoarjo, Sidoarjo","3","2","120 m²","150 m²"
"Rp 1,85 Miliar","Dijual Rumah Graha Tirta Tirta Kirana.waru Sidoarjo","Waru, Sidoarjo","3","2","93 m²","103 m²"
"Rp 3,5 Miliar","Dijual Rumah Permata Juanda Bandara Internsional Juanda","Sedati, Sidoarjo","4","4","300 m²","280 m²"
"Rp 1,35 Miliar","Dijual Rumah Baru Pondok Tjandra Mangga Sidoarjo","Waru, Sidoarjo","3","2","75 m²","135 m²"
"Rp 1,2 Miliar","Dijual Rumah Kahuripan Nirwana Sidoarjo Kota","Sidoarjo, Sidoarjo","3","2","144 m²","144 m²"
"Rp 625 Juta","Dijual Rumah Grand Surya Sedati Juanda","Sedati, Sidoarjo","2","1","90 m²","60 m²"
"Rp 1,53 Miliar","Rumah Murah Siap Huni Dekat Kahuripan Dan Exit Tol Sidoarjo","Sidoarjo, Sidoarjo","3","2","126 m²","91 m²"
"Rp 725 Juta","Rumah Murah Mewah Dekat Kahuripan Selatan Surabaya Sidoarjo","Sidoarjo, Sidoarjo","3","2","90 m²","65 m²"
"Rp 1,14 Miliar","Rumah Mewah Murah Dekat Kahuripan Nirwana Sidoarjo","Sidoarjo, Sidoarjo","3","2","105 m²","88 m²"
"Rp 700 Juta","Rumah Dan Ruko Murah Dekat Bandara Delta Sari Indah Selatan Surabaya","Waru, Sidoarjo","2","1","72 m²","38 m²"
"Rp 940 Juta","Rumah Mewah Murah Dekat Kahuripan Dan Exit Tol Selatan Surabaya","Sidoarjo, Sidoarjo","3","3","72 m²","85 m²"
"Rp 590 Juta","Dijual Via Lelang Rumah Siap Huni Perum Citra Harmoni Sidoarjo","Sidoarjo, Sidoarjo","4","2","120 m²","120 m²"
"Rp 800 Juta","Segera di Lelang Rumah Citra Harmoni Cluster New York","Sidoarjo, Sidoarjo","2","1","120 m²","69 m²"
"Rp 399 Juta","Dijual Murah Rumah Di Kota Sidoajo Cocok Dijadika Ruko","Sidoarjo, Sidoarjo","2","1","98 m²","98 m²"
"Rp 695 Juta","Dijual Rumah Alana Regenci Tambak Oso Ready Bangunan Siap Huni","Sidoarjo, Sidoarjo","2","1","72 m²","72 m²"
"Rp 2,25 Miliar","Dijual Rumah Baru Belum Pernah Di Huni Pondok Candra","Waru, Sidoarjo","3","2","135 m²","150 m²"
"Rp 345 Juta","Dijual Rumah Lelang Siap Huni Daerah Sidoarjo","Waru, Sidoarjo","2","1","91 m²","91 m²"
"Rp 1,5 Miliar","Dijual Rumah Citra Garden Sidoajo Kota,harga Terjangkau","Buduran, Sidoarjo","2","2","150 m²","72 m²"
"Rp 900 Juta","Dijual Cepat Rumah Buduran Harga Kompromi Ayo Buruan","Buduran, Sidoarjo","3","2","112 m²","105 m²"
"Rp 950 Juta","Rumah 1 Lantai 1/2 Di Kawasan Perum Star Safira Regency Sidoarjo.","Sukodono, Sidoarjo","5","3","191 m²","100 m²"
"Rp 2,14 Miliar","Dijual Rumah Hiend Interior di Pondok Tjandra Indah Jl. Palem","Pondok Tjandra, Sidoarjo","4","2","150 m²","200 m²"
"Rp 540 Juta","Dijual Murah Rumah Di Metro Regency, Pepe, Sedati, Sidoarjo Sudah Renovasi","Waru, Sidoarjo","2","2","88 m²","60 m²"
"Rp 1,1 Miliar","Dijual Rumah Pondok Tjandra Jl. Jambu Istimewa, Turun Harga Dari 1,650m Jadi 1,25m","Pondok Tjandra, Sidoarjo","3","2","132 m²","140 m²"
"Rp 2,37 Miliar","Dijual Rumah Minimalis Siap Huni Delta Sari Sidoarjo","Sidoarjo, Sidoarjo","4","3","210 m²","227 m²"
"Rp 3,25 Miliar","Dijual Rumah Delta Sari Siap Huni","Waru, Sidoarjo","5","2","243 m²","300 m²"
"Rp 1,5 Miliar","Dijual Cepat Rumah Strategis Pondok Tjandra","Waru, Sidoarjo","2","2","150 m²","200 m²"
"Rp 950 Juta","Dijual Rumah 1 Lantai Di Citraharmoni, Taman, Sidoarjo","Sidoarjo, Sidoarjo","2","1","96 m²","96 m²"
"Rp 449 Juta","Rumah Baru Siap Huni Tanpa DP di Waru Sidoarjo","Waru, Sidoarjo","2","1","72 m²","33 m²"
"Rp 820 Juta","Dijual Rumah Siap Huni Evergreen Regency Tambak Sumur","Waru, Sidoarjo","2","1","90 m²","88 m²"
"Rp 1,5 Miliar","Dijual Rumah 2lt Perum Anggrek Mas Sidoarjo Kota","Sidoarjo, Sidoarjo","4","3","135 m²","180 m²"
"Rp 550 Juta","Dijual Rumah 1 Lt Bagus Di Graha Mutiara Sidoarjo","Sukodono, Sidoarjo","2","2","90 m²","57 m²"
"Rp 600 Juta","Rumah Perum Grand Sedati 1 Lt Full Renov","Sedati, Sidoarjo","2","1","90 m²","90 m²"
"Rp 999 Juta","Dijual Rumah 1 Lt Perum Alana Regency2 Waru Sidoarjo","Waru, Sidoarjo","2","1","135 m²","54 m²"
"Rp 1,1 Miliar","Dijual Rumah Baru Gress 1 Lt Di Sidoarjo Kota","Sidoarjo, Sidoarjo","4","2","120 m²","115 m²"
"Rp 1,25 Miliar","Dijual Rumah 2lt Di Candi Sidoarjo","Sidoarjo, Sidoarjo","4","2","150 m²","120 m²"
"Rp 1,3 Miliar","Dijual Rumah 2 Lt Di Waru Indah Waru Sidoarjo","Waru, Sidoarjo","4","2","156 m²","223 m²"
"Rp 1,5 Miliar","Dijual Cepat Rumah Apik Baru Renov 2 Lt Di Mutiara Regency Sidoarjo Kota","Sidoarjo, Sidoarjo","4","3","160 m²","300 m²"
"Rp 2,2 Miliar","Dijual Via Lelang Rumah 2lt Di Waru Sidoarjo Pepelegi","Waru, Sidoarjo","6","5","293 m²","405 m²"
"Rp 1,7 Miliar","Dijual Rumah 1 Lt Pondok Jati Sidoarjo","Sidoarjo, Sidoarjo","3","2","154 m²","81 m²"
"Rp 1,5 Miliar","Dijual Rumah 1 Lt Sidoarjo Kota Perum Citra Garden","Sidoarjo, Sidoarjo","2","2","150 m²","72 m²"
"Rp 4 Miliar","Dijual Tumah 2lt Sidoarjo Kota Citra Garden","Sidoarjo, Sidoarjo","6","5","200 m²","320 m²"
"Rp 1,8 Miliar","Dijual Rumah 2 Lt Hook Sidoarjo Kota Kahuripan Nirwana","Sidoarjo, Sidoarjo","3","3","96 m²","100 m²"
"Rp 970 Juta","Dijual Rumah 1lt Kahuripan Sidoarjo Kota","Sidoarjo, Sidoarjo","3","1","144 m²","120 m²"
