price,name,location,bedroom,bathroom,land_area,building_area
"Rp 1,8 Miliar",Jual Rumah Terawat 2 Lantai Di Medayu Utara,"Rungkut, Surabaya",4,2,160 m²,300 m²
"Rp 1,3 Miliar",Rumah Dijual Jalan Libra Tambaksari Surabaya,"Tambaksari, Surabaya",3,4,89 m²,89 m²
"Rp 1,3 Miliar",Rumah Dijual Jalan Libra Tambaksari Surabaya,"Tambaksari, Surabaya",3,4,89 m²,89 m²
Rp 998 Juta,PANTAI MENTARI,"Kenjeran, Surabaya",2,1,48 m²,54 m²
"Rp 1,4 Miliar",Rumah Dijual Pondok Maritim Karang Klumprik Wiyung Surabaya,"Wiyung, Surabaya",3,1,135 m²,135 m²
Rp 550 Juta,Rumah Indent Serah Terima Cepat Dekat Kampus Upn,"Rungkut, Surabaya",2,1,60 m²,45 m²
"Rp 1,2 Miliar",Jual Rumah 1 Lantai Wiguna Timur,"Gununganyar, Surabaya",2,2,120 m²,80 m²
Rp 328 Juta,Rumah Murah Sidoarjo,"Sidoarjo, Sidoarjo",2,1,57 m²,36 m²
"Rp 1,2 Miliar",Rumah Hook 1m-An Surabaya Barat Babatan Indah,"Wiyung, Surabaya",3,1,120 m²,120 m²
"Rp 1,6 Miliar",Dijual Rumah Di Citraland Cluster Alam Hijau Semu Furnish Model Minimalis,"Citraland, Surabaya",4,4,90 m²,90 m²
Rp 2 Miliar,Rumah Baru Northwest Park Citraland,"Citraland, Surabaya",3,2,105 m²,120 m²
"Rp 1,85 Miliar","Dijual Rumah Baru Berkwalitas 2Lt Pantai Mentari, Kenjeran 90/130","Kenjeran, Surabaya",4,3,90 m²,130 m²
"Rp 1,65 Miliar","NIRWANA  EKSEKUTIF, ROW 3,5 MBL BARU GRESS 2 UNIT JEJER","Rungkut, Surabaya",3,3,87 m²,120 m²
Rp 2 Miliar,"Rumah 2 Lantai Bagus Unfurnished SHM di Dijual Rumah Bendul Merisi Permai Surabaya
, Surabaya","Wonocolo, Surabaya",7,2,120 m²,120 m²
"Rp 1,47 Miliar",Rumah Rumah Shm 2 Lantai Baru Kutisari Indah Siap Huni,"Kutisari, Surabaya",3,3,75 m²,105 m²
"Rp 1,6 Miliar",Jual 2lt Sukolilo Rumah Baru,"Sukolilo, Surabaya",3,2,102 m²,120 m²
