iter	Passed	Remaining
647	2909	6070
648	2913	6065
649	2917	6060
650	2922	6055
651	2926	6050
652	2931	6047
653	2935	6042
654	2940	6037
655	2944	6032
656	2948	6027
657	2953	6022
658	2957	6017
659	2961	6012
660	2966	6009
661	2970	6004
662	2974	5999
663	2979	5994
664	2983	5989
665	2987	5984
666	2992	5979
667	2996	5975
668	3000	5970
669	3005	5965
670	3010	5961
671	3016	5960
672	3020	5955
673	3025	5951
674	3031	5950
675	3036	5946
676	3041	5943
677	3046	5940
678	3052	5938
679	3056	5933
680	3062	5931
681	3068	5929
682	3073	5925
683	3077	5921
684	3082	5917
685	3086	5912
686	3090	5906
687	3095	5902
688	3099	5897
689	3103	5891
690	3107	5886
691	3111	5881
692	3115	5875
693	3119	5870
694	3123	5865
695	3128	5860
696	3132	5855
697	3136	5850
698	3140	5845
699	3144	5840
700	3149	5835
701	3153	5830
702	3158	5826
703	3162	5821
704	3166	5816
705	3170	5811
706	3174	5806
707	3179	5801
708	3183	5797
709	3188	5793
710	3193	5789
711	3197	5784
712	3203	5781
713	3207	5777
714	3212	5773
715	3216	5768
716	3221	5764
717	3225	5759
718	3230	5754
719	3234	5749
720	3239	5746
721	3243	5741
722	3247	5736
723	3252	5731
724	3257	5728
725	3261	5724
726	3266	5719
727	3270	5714
728	3274	5709
729	3278	5704
730	3283	5699
731	3288	5695
732	3292	5690
733	3296	5685
734	3300	5680
735	3304	5675
736	3308	5670
737	3313	5665
738	3317	5660
739	3321	5656
740	3326	5651
741	3330	5646
742	3334	5641
743	3339	5637
744	3343	5632
745	3347	5627
746	3350	5619
747	3354	5615
748	3359	5610
749	3363	5606
750	3368	5602
751	3372	5597
752	3376	5592
753	3381	5587
754	3386	5583
755	3390	5578
756	3394	5573
757	3398	5568
758	3402	5563
759	3406	5558
760	3410	5553
761	3415	5549
762	3420	5544
763	3424	5539
764	3428	5535
765	3433	5530
766	3437	5526
767	3442	5521
768	3449	5521
769	3453	5517
770	3458	5513
771	3463	5509
772	3467	5504
773	3471	5499
774	3475	5494
775	3480	5489
776	3484	5485
777	3488	5480
778	3493	5474
779	3497	5470
780	3501	5465
781	3505	5460
782	3510	5455
783	3514	5451
784	3518	5446
785	3523	5441
786	3527	5436
787	3531	5432
788	3536	5427
789	3540	5422
790	3544	5417
791	3548	5413
792	3553	5408
793	3557	5403
794	3562	5399
795	3566	5394
796	3571	5390
797	3576	5386
798	3580	5382
799	3585	5378
800	3589	5373
801	3594	5369
802	3599	5364
803	3603	5360
804	3607	5355
805	3612	5351
806	3617	5347
807	3621	5342
808	3626	5339
809	3631	5334
810	3635	5330
811	3640	5325
812	3644	5321
813	3649	5317
814	3653	5312
815	3658	5307
816	3662	5303
817	3666	5298
818	3671	5293
819	3676	5291
820	3681	5286
821	3685	5282
822	3690	5277
823	3694	5273
824	3699	5268
825	3704	5264
826	3709	5261
827	3713	5256
828	3718	5252
829	3722	5247
830	3726	5242
831	3731	5237
832	3735	5233
833	3740	5229
834	3744	5225
835	3749	5219
836	3753	5214
837	3757	5210
838	3761	5205
839	3765	5200
840	3770	5195
841	3774	5191
842	3779	5186
843	3783	5181
844	3787	5177
845	3792	5172
846	3796	5168
847	3800	5163
848	3805	5158
